1	2	9.28688e-09
2	2	9.36079e-09
5	2	9.35507e-09
10	2	9.31406e-09
20	2	8.86679e-09
50	2	7.90834e-09
100	2	6.91938e-09
1	2	9.28688e-09
2	2	9.36079e-09
5	2	9.35507e-09
10	2	9.31406e-09
1	2	9.28783e-09
2	2	9.31978e-09
5	2	8.80718e-09
10	2	8.01134e-09
20	2	7.08342e-09
50	2	4.07743e-09
100	2	4.07743e-09
1	2	0.2048
2	2	0.2048
5	2	0.2048
10	2	0.204781
20	2	4.06265e-09
50	2	4.06265e-09
100	2	4.06265e-09
1	2	9.10282e-09
2	2	9.1815e-09
5	2	9.24969e-09
10	2	8.97312e-09
20	2	7.95364e-09
50	2	7.0858e-09
1	2	9.39846e-09
2	2	9.41896e-09
5	2	9.27401e-09
10	2	8.6894e-09
15	2	8.1687e-09
30	2	7.18307e-09
1	2	9.28783e-09
2	2	9.31978e-09
5	2	8.80718e-09
10	2	8.01134e-09
20	2	7.08342e-09
1	2	9.28783e-09
2	2	9.31978e-09
5	2	8.80718e-09
10	2	8.01134e-09
20	2	7.08342e-09
1	2	9.28783e-09
2	2	9.31978e-09
5	2	8.80718e-09
10	2	8.01134e-09
20	2	7.08342e-09
20	2	7.08342e-09
20	2	7.08342e-09
20	2	7.08342e-09
20	2	0.04096
1	2	9.28783e-09
2	2	9.31978e-09
5	2	8.80718e-09
10	2	8.01134e-09
20	2	7.08342e-09
1	2	9.28783e-09
2	2	9.31978e-09
5	2	8.80718e-09
10	2	8.01134e-09
20	2	7.08342e-09
20	2	0.04096
20	2	0.04096
20	2	0.04096
20	2	0.04096
20	2	0.04096
1	2	9.28783e-09
2	2	9.31978e-09
5	2	8.80718e-09
10	2	8.01134e-09
20	2	7.08342e-09
1	2	9.28783e-09
2	2	9.31978e-09
5	2	8.80718e-09
10	2	8.01134e-09
20	2	7.08342e-09
1	2	9.28783e-09
2	2	9.31978e-09
5	2	8.80718e-09
10	2	8.01134e-09
20	2	7.08342e-09
20	2	0.04096
1	2	9.28783e-09
2	2	9.31978e-09
5	2	8.80718e-09
10	2	8.01134e-09
20	2	7.08342e-09
1	2	9.28783e-09
2	2	9.31978e-09
5	2	8.80718e-09
10	2	8.01134e-09
20	2	7.08342e-09
1	2	9.28783e-09
2	2	9.31978e-09
5	2	8.80718e-09
10	2	8.01134e-09
20	2	7.08342e-09
1	2	9.28783e-09
2	2	9.31978e-09
5	2	8.80718e-09
10	2	8.01134e-09
20	2	7.08342e-09
20	2	0.04096
20	2	0.04096
20	2	0.04096
1	2	9.28783e-09
2	2	9.31978e-09
5	2	8.80718e-09
10	2	8.01134e-09
20	2	7.08342e-09
20	2	0.04096
1	2	0.04096
1	2	9.28783e-09
2	2	9.31978e-09
5	2	8.80718e-09
10	2	8.01134e-09
20	2	7.08342e-09
1	2	0.04096
2	2	0.04096
5	2	0.04096
10	2	0.04096
20	2	0.04096
1	2	0.08192
2	2	0.08192
5	2	0.08192
10	2	0.08192
